date,open,close,high,low,volume
2022-06-14,6.650000095367432,6.650000095367432,5.949999809265137,5.480000019073486,3770
2022-06-15,6.650000095367432,6.650000095367432,5.889999866485596,5.519999980926514,215
2022-06-16,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,0
2022-06-19,6.650000095367432,6.650000095367432,6.0,5.670000076293945,5563
2022-06-20,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,0
2022-06-21,6.650000095367432,6.650000095367432,5.46999979019165,5.320000171661377,500
2022-06-22,6.650000095367432,6.650000095367432,5.96999979019165,5.400000095367432,460
2022-06-23,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,0
2022-06-26,6.650000095367432,6.650000095367432,5.800000190734863,5.400000095367432,100
2022-06-27,6.650000095367432,6.650000095367432,5.400000095367432,5.329999923706055,364
2022-06-28,6.650000095367432,6.650000095367432,5.400000095367432,5.320000171661377,1160
2022-06-29,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,0
2022-07-03,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,0
2022-07-04,6.650000095367432,6.650000095367432,5.869999885559082,5.320000171661377,3287
2022-07-05,6.650000095367432,6.650000095367432,5.739999771118164,5.349999904632568,141
2022-07-06,6.650000095367432,6.650000095367432,5.320000171661377,5.320000171661377,50
2022-07-07,6.650000095367432,6.650000095367432,6.0,5.420000076293945,7547
2022-07-17,6.650000095367432,6.650000095367432,5.369999885559082,5.369999885559082,60
2022-07-18,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,0
2022-07-19,6.650000095367432,6.650000095367432,5.800000190734863,5.5,1010
2022-07-20,6.650000095367432,6.650000095367432,5.940000057220459,5.510000228881836,872
2022-07-21,6.650000095367432,6.650000095367432,6.170000076293945,5.75,407
2022-07-24,6.650000095367432,6.650000095367432,5.670000076293945,5.670000076293945,500
2022-07-25,6.650000095367432,6.650000095367432,5.889999866485596,5.550000190734863,732
2022-07-26,6.650000095367432,6.650000095367432,5.800000190734863,5.559999942779541,3770
2022-07-27,6.650000095367432,6.650000095367432,5.900000095367432,5.579999923706055,1511
2022-07-28,6.650000095367432,6.650000095367432,6.0,5.650000095367432,5092
2022-07-31,6.650000095367432,6.650000095367432,5.579999923706055,5.5,1836
2022-08-01,6.650000095367432,6.650000095367432,5.630000114440918,5.610000133514404,832
2022-08-02,6.650000095367432,6.650000095367432,5.630000114440918,5.53000020980835,2857
2022-08-03,6.650000095367432,6.650000095367432,5.699999809265137,5.550000190734863,728
2022-08-04,6.650000095367432,6.650000095367432,5.699999809265137,5.519999980926514,225
2022-08-07,6.650000095367432,6.650000095367432,5.699999809265137,5.590000152587891,7090
2022-08-08,6.650000095367432,6.650000095367432,5.900000095367432,5.519999980926514,11996
2022-08-09,6.650000095367432,6.650000095367432,5.849999904632568,5.579999923706055,5450
2022-08-10,6.650000095367432,6.650000095367432,5.789999961853027,5.519999980926514,7087
2022-08-11,6.650000095367432,6.650000095367432,5.900000095367432,5.570000171661377,6657
2022-08-14,6.650000095367432,6.650000095367432,5.900000095367432,5.610000133514404,9905
2022-08-15,6.650000095367432,6.650000095367432,5.880000114440918,5.650000095367432,2005
2022-08-16,6.650000095367432,6.650000095367432,5.889999866485596,5.639999866485596,4648
2022-08-17,6.650000095367432,6.650000095367432,5.96999979019165,5.670000076293945,14450
2022-08-18,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,0
2022-08-21,6.650000095367432,6.650000095367432,5.889999866485596,5.71999979019165,2300
2022-08-22,6.650000095367432,6.650000095367432,6.070000171661377,5.639999866485596,5139
2022-08-23,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,0
2022-08-24,6.650000095367432,6.650000095367432,5.789999961853027,5.409999847412109,20941
2022-08-25,6.650000095367432,6.650000095367432,5.75,5.46999979019165,4987
2022-08-28,6.650000095367432,6.650000095367432,5.789999961853027,5.519999980926514,6966
2022-08-29,6.650000095367432,6.650000095367432,5.559999942779541,5.460000038146973,5018
2022-08-30,6.650000095367432,6.650000095367432,5.690000057220459,5.5,1701
2022-08-31,6.650000095367432,6.650000095367432,5.690000057220459,5.320000171661377,5832
2022-09-01,6.650000095367432,6.650000095367432,5.5,5.380000114440918,9625
2022-09-04,6.650000095367432,6.650000095367432,5.380000114440918,5.380000114440918,800
2022-09-05,6.650000095367432,6.650000095367432,5.690000057220459,5.380000114440918,1560
2022-09-06,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,0
2022-09-07,6.650000095367432,6.650000095367432,5.699999809265137,5.380000114440918,6106
2022-09-08,6.650000095367432,6.650000095367432,5.699999809265137,5.429999828338623,5812
2022-09-11,6.650000095367432,6.650000095367432,5.650000095367432,5.400000095367432,1446
2022-09-12,6.650000095367432,6.650000095367432,5.699999809265137,5.440000057220459,500
2022-09-13,6.650000095367432,6.650000095367432,5.5,5.449999809265137,3457
2022-09-14,6.650000095367432,6.650000095367432,5.46999979019165,5.440000057220459,2629
2022-09-15,6.650000095367432,6.650000095367432,5.449999809265137,5.389999866485596,4224
2022-09-18,6.650000095367432,6.650000095367432,5.519999980926514,5.340000152587891,9396
2022-09-19,6.650000095367432,6.650000095367432,5.699999809265137,5.340000152587891,23
2022-09-20,6.650000095367432,6.650000095367432,5.659999847412109,5.340000152587891,3601
2022-09-21,6.650000095367432,6.650000095367432,5.590000152587891,5.369999885559082,2935
2022-09-22,6.650000095367432,6.650000095367432,5.5,5.409999847412109,3932
2022-09-25,6.650000095367432,6.650000095367432,6.650000095367432,5.550000190734863,1867
2022-09-26,6.650000095367432,6.650000095367432,5.610000133514404,5.409999847412109,2366
2022-09-27,6.650000095367432,6.650000095367432,5.650000095367432,5.400000095367432,1066
2022-09-28,6.650000095367432,6.650000095367432,5.420000076293945,5.320000171661377,21196
2022-09-29,6.650000095367432,6.650000095367432,5.5,5.320000171661377,32993
2022-10-02,6.650000095367432,6.650000095367432,5.489999771118164,5.320000171661377,4796
2022-10-03,6.650000095367432,6.650000095367432,5.5,5.320000171661377,1190
2022-10-04,6.650000095367432,6.650000095367432,5.440000057220459,5.320000171661377,4769
2022-10-05,6.650000095367432,6.650000095367432,5.440000057220459,5.320000171661377,4024
2022-10-09,6.650000095367432,6.650000095367432,5.420000076293945,5.320000171661377,5174
2022-10-10,6.650000095367432,6.650000095367432,5.400000095367432,5.320000171661377,2202
2022-10-11,6.650000095367432,6.650000095367432,5.369999885559082,5.349999904632568,4815
2022-10-12,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,0
2022-10-13,6.650000095367432,6.650000095367432,5.320000171661377,5.320000171661377,12020
2022-10-16,6.650000095367432,6.650000095367432,5.400000095367432,5.329999923706055,4767
2022-10-17,6.650000095367432,6.650000095367432,5.389999866485596,5.320000171661377,8451
2022-10-18,6.650000095367432,6.650000095367432,5.409999847412109,5.320000171661377,140
2022-10-19,6.650000095367432,6.650000095367432,5.420000076293945,5.320000171661377,3974
2022-10-20,6.650000095367432,6.650000095367432,5.409999847412109,5.320000171661377,2090
2022-10-23,6.650000095367432,6.650000095367432,5.420000076293945,5.320000171661377,4570
2022-10-24,6.650000095367432,6.650000095367432,5.489999771118164,5.320000171661377,2364
2022-10-25,6.650000095367432,6.650000095367432,5.440000057220459,5.329999923706055,727
2022-10-26,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,0
2022-10-27,6.650000095367432,6.650000095367432,5.599999904632568,5.400000095367432,9634
2022-10-30,6.650000095367432,6.650000095367432,5.550000190734863,5.340000152587891,4119
2022-10-31,6.650000095367432,6.650000095367432,5.489999771118164,5.340000152587891,340
2022-11-01,6.650000095367432,6.650000095367432,5.449999809265137,5.340000152587891,3549
2022-11-02,6.650000095367432,6.650000095367432,5.449999809265137,5.320000171661377,5734
2022-11-03,6.650000095367432,6.650000095367432,5.489999771118164,5.320000171661377,1463
2022-11-06,6.650000095367432,6.650000095367432,5.489999771118164,5.320000171661377,4485
2022-11-07,6.650000095367432,6.650000095367432,5.489999771118164,5.320000171661377,117
2022-11-08,6.650000095367432,6.650000095367432,5.449999809265137,5.320000171661377,455
2022-11-09,6.650000095367432,6.650000095367432,5.440000057220459,5.320000171661377,3903
2022-11-10,6.650000095367432,6.650000095367432,5.429999828338623,5.320000171661377,4550
2022-11-13,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,0
2022-11-14,6.650000095367432,6.650000095367432,5.440000057220459,5.320000171661377,3925
2022-11-15,6.650000095367432,6.650000095367432,5.440000057220459,5.320000171661377,1249
2022-11-16,6.650000095367432,6.650000095367432,5.440000057220459,5.320000171661377,5870
2022-11-17,6.650000095367432,6.650000095367432,5.519999980926514,5.329999923706055,3718
2022-11-20,6.650000095367432,6.650000095367432,5.550000190734863,5.400000095367432,15577
2022-11-21,6.650000095367432,6.650000095367432,5.590000152587891,5.5,1452
2022-11-22,6.650000095367432,6.650000095367432,6.650000095367432,5.320000171661377,14547
2022-11-23,6.650000095367432,6.650000095367432,5.789999961853027,5.400000095367432,16745
2022-11-24,6.650000095367432,6.650000095367432,5.789999961853027,5.519999980926514,8115
2022-11-27,6.650000095367432,6.650000095367432,5.789999961853027,5.590000152587891,5051
2022-11-28,6.650000095367432,6.650000095367432,5.760000228881836,5.409999847412109,15699
2022-11-29,6.650000095367432,6.650000095367432,5.760000228881836,5.570000171661377,6221
2022-11-30,6.650000095367432,6.650000095367432,5.71999979019165,5.400000095367432,9561
2022-12-01,6.650000095367432,6.650000095367432,5.739999771118164,5.409999847412109,825
2022-12-04,6.650000095367432,6.650000095367432,5.739999771118164,5.400000095367432,5107
2022-12-05,6.650000095367432,6.650000095367432,5.739999771118164,5.449999809265137,28159
2022-12-06,6.650000095367432,6.650000095367432,5.900000095367432,5.489999771118164,23798
2022-12-07,6.650000095367432,6.650000095367432,6.389999866485596,5.78000020980835,31749
2022-12-08,6.650000095367432,6.650000095367432,6.5,6.0,21125
2022-12-11,6.650000095367432,6.650000095367432,6.440000057220459,6.03000020980835,5431
2022-12-12,6.650000095367432,6.650000095367432,6.369999885559082,5.909999847412109,21081
2022-12-13,6.650000095367432,6.650000095367432,6.21999979019165,5.909999847412109,17674
2022-12-14,6.650000095367432,6.650000095367432,6.5,6.0,31846
2022-12-15,6.650000095367432,6.650000095367432,6.650000095367432,6.0,35624
2022-12-18,6.650000095367432,6.650000095367432,6.46999979019165,6.03000020980835,28037
2022-12-19,6.650000095367432,6.650000095367432,6.449999809265137,6.099999904632568,6284
2022-12-20,6.650000095367432,6.96999979019165,6.980000019073486,6.269999980926514,69835
2022-12-21,6.96999979019165,6.96999979019165,7.0,6.260000228881836,31428
2022-12-22,6.96999979019165,6.96999979019165,6.889999866485596,6.320000171661377,1587
2022-12-25,6.96999979019165,6.019999980926514,6.599999904632568,6.0,127448
2022-12-26,6.019999980926514,6.019999980926514,6.380000114440918,5.0,22609
2022-12-27,6.019999980926514,6.019999980926514,6.099999904632568,5.889999866485596,42370
2022-12-28,6.019999980926514,6.019999980926514,6.0,5.860000133514404,32478
2022-12-29,6.019999980926514,6.019999980926514,6.25,5.860000133514404,19160
2023-01-02,6.019999980926514,6.019999980926514,6.039999961853027,5.860000133514404,17359
2023-01-03,6.019999980926514,6.019999980926514,6.099999904632568,5.900000095367432,13737
2023-01-04,6.019999980926514,6.019999980926514,6.170000076293945,5.869999885559082,47007
2023-01-05,6.019999980926514,6.019999980926514,6.050000190734863,5.869999885559082,21911
2023-01-09,6.019999980926514,6.019999980926514,6.03000020980835,5.820000171661377,38738
2023-01-10,6.019999980926514,6.019999980926514,6.0,5.699999809265137,18654
2023-01-11,6.019999980926514,6.019999980926514,5.940000057220459,5.760000228881836,7622
2023-01-12,6.019999980926514,6.019999980926514,5.889999866485596,5.699999809265137,11797
2023-01-15,6.019999980926514,6.019999980926514,5.820000171661377,5.630000114440918,1770
2023-01-16,6.019999980926514,6.019999980926514,5.889999866485596,5.630000114440918,5870
2023-01-17,6.019999980926514,6.019999980926514,5.909999847412109,5.599999904632568,5981
2023-01-18,6.019999980926514,6.019999980926514,5.900000095367432,5.599999904632568,499
2023-01-19,6.019999980926514,6.019999980926514,6.079999923706055,5.659999847412109,3469
2023-01-22,6.019999980926514,6.019999980926514,6.0,5.670000076293945,4739
2023-01-23,6.019999980926514,6.019999980926514,6.070000171661377,5.599999904632568,19135
2023-01-24,6.019999980926514,6.019999980926514,5.800000190734863,5.599999904632568,18251
2023-01-25,6.019999980926514,6.019999980926514,5.800000190734863,5.619999885559082,2190
2023-01-29,6.019999980926514,6.019999980926514,6.0,5.699999809265137,15786
2023-01-30,6.019999980926514,6.019999980926514,5.960000038146973,5.71999979019165,4990
2023-01-31,6.019999980926514,6.019999980926514,5.960000038146973,5.5,8018
2023-02-01,6.019999980926514,6.019999980926514,5.849999904632568,5.550000190734863,3219
2023-02-02,6.019999980926514,6.019999980926514,5.570000171661377,5.5,8194
2023-02-05,6.019999980926514,6.019999980926514,5.699999809265137,5.179999828338623,11245
2023-02-06,6.019999980926514,6.019999980926514,5.699999809265137,5.340000152587891,4654
2023-02-07,6.019999980926514,6.019999980926514,5.699999809265137,5.349999904632568,22
2023-02-08,6.019999980926514,6.019999980926514,5.800000190734863,5.400000095367432,3523
2023-02-09,6.019999980926514,6.019999980926514,5.75,5.340000152587891,6421
2023-02-12,6.019999980926514,6.019999980926514,5.75,5.340000152587891,3762
2023-02-13,6.019999980926514,6.019999980926514,5.789999961853027,5.449999809265137,6600
2023-02-14,6.019999980926514,6.019999980926514,5.730000019073486,5.519999980926514,2507
2023-02-15,6.019999980926514,6.019999980926514,5.789999961853027,5.460000038146973,1776
2023-02-16,6.019999980926514,6.019999980926514,5.75,5.5,4219
2023-02-19,6.019999980926514,6.019999980926514,5.739999771118164,5.46999979019165,4693
2023-02-20,6.019999980926514,6.019999980926514,5.75,5.480000019073486,7661
2023-02-21,6.019999980926514,6.019999980926514,5.5,5.449999809265137,4397
2023-02-22,6.019999980926514,6.019999980926514,5.730000019073486,5.46999979019165,8465
2023-02-23,6.019999980926514,6.019999980926514,5.710000038146973,5.440000057220459,359
2023-02-26,6.019999980926514,6.019999980926514,5.710000038146973,5.449999809265137,2537
2023-02-27,6.019999980926514,6.019999980926514,5.699999809265137,5.460000038146973,5273
2023-02-28,6.019999980926514,6.019999980926514,5.699999809265137,5.170000076293945,10702
2023-03-01,6.019999980926514,6.019999980926514,5.650000095367432,5.210000038146973,145
2023-03-02,6.019999980926514,6.019999980926514,5.650000095367432,5.21999979019165,3174
2023-03-05,6.019999980926514,6.019999980926514,5.650000095367432,5.329999923706055,7345
2023-03-06,6.019999980926514,6.019999980926514,5.710000038146973,5.340000152587891,6670
2023-03-07,6.019999980926514,6.019999980926514,5.690000057220459,5.300000190734863,1346
2023-03-08,6.019999980926514,6.019999980926514,5.699999809265137,5.289999961853027,4938
2023-03-09,6.019999980926514,6.019999980926514,5.699999809265137,5.230000019073486,3327
2023-03-12,6.019999980926514,6.019999980926514,5.619999885559082,5.190000057220459,8658
2023-03-13,6.019999980926514,6.019999980926514,5.630000114440918,5.159999847412109,1301
2023-03-14,6.019999980926514,6.019999980926514,5.539999961853027,5.0,8122
2023-03-15,6.019999980926514,6.019999980926514,5.480000019073486,5.400000095367432,3000
2023-03-16,6.019999980926514,6.019999980926514,5.46999979019165,4.829999923706055,5775
2023-03-19,6.019999980926514,6.019999980926514,5.539999961853027,4.829999923706055,2645
2023-03-20,6.019999980926514,6.019999980926514,5.550000190734863,4.869999885559082,7763
2023-03-21,6.019999980926514,6.019999980926514,5.489999771118164,5.0,5853
2023-03-22,6.019999980926514,6.019999980926514,5.400000095367432,5.099999904632568,8369
2023-03-23,6.019999980926514,6.019999980926514,5.369999885559082,5.099999904632568,1342
2023-03-26,6.019999980926514,6.019999980926514,5.449999809265137,5.079999923706055,6782
2023-03-27,6.019999980926514,6.019999980926514,5.480000019073486,5.179999828338623,5578
2023-03-28,6.019999980926514,6.019999980926514,5.480000019073486,5.099999904632568,5498
2023-03-29,6.019999980926514,6.019999980926514,5.420000076293945,5.110000133514404,1801
2023-03-30,6.019999980926514,6.019999980926514,5.440000057220459,5.199999809265137,1968
2023-04-02,6.019999980926514,6.019999980926514,5.440000057220459,5.010000228881836,11428
2023-04-03,6.019999980926514,6.019999980926514,5.389999866485596,5.039999961853027,5503
2023-04-04,6.019999980926514,6.019999980926514,5.480000019073486,5.25,8981
2023-04-05,6.019999980926514,6.019999980926514,5.440000057220459,5.25,2686
2023-04-06,6.019999980926514,6.019999980926514,5.5,5.25,5378
2023-04-09,6.019999980926514,6.019999980926514,5.400000095367432,5.090000152587891,1523
2023-04-10,6.019999980926514,6.019999980926514,5.400000095367432,5.110000133514404,3873
2023-04-11,6.019999980926514,6.019999980926514,5.480000019073486,5.130000114440918,2306
2023-04-12,6.019999980926514,6.019999980926514,5.400000095367432,5.150000095367432,2817
2023-04-13,6.019999980926514,6.019999980926514,5.400000095367432,5.139999866485596,2803
2023-04-18,6.019999980926514,6.019999980926514,5.400000095367432,5.150000095367432,1937
2023-04-19,6.019999980926514,6.019999980926514,5.389999866485596,5.150000095367432,3436
2023-04-26,6.019999980926514,6.019999980926514,5.400000095367432,5.119999885559082,12305
2023-04-27,6.019999980926514,6.019999980926514,5.329999923706055,5.25,9510
2023-04-30,6.019999980926514,6.019999980926514,5.340000152587891,5.159999847412109,8751
2023-05-01,6.019999980926514,6.019999980926514,6.019999980926514,6.019999980926514,0
2023-05-02,6.019999980926514,6.019999980926514,5.329999923706055,5.159999847412109,2312
2023-05-03,6.019999980926514,6.019999980926514,5.309999942779541,5.099999904632568,1125
2023-05-07,6.019999980926514,6.019999980926514,5.309999942779541,5.159999847412109,296
2023-05-08,6.019999980926514,6.019999980926514,5.309999942779541,5.0,13813
2023-05-09,6.019999980926514,6.019999980926514,5.389999866485596,5.110000133514404,20199
2023-05-10,6.019999980926514,6.019999980926514,5.340000152587891,5.099999904632568,6129
2023-05-11,6.019999980926514,6.019999980926514,5.329999923706055,5.300000190734863,1163
2023-05-14,6.019999980926514,6.019999980926514,5.329999923706055,5.110000133514404,8613
2023-05-15,6.019999980926514,6.019999980926514,5.300000190734863,5.139999866485596,8887
2023-05-16,6.019999980926514,6.019999980926514,5.239999771118164,5.099999904632568,7426
2023-05-17,6.019999980926514,6.019999980926514,5.28000020980835,5.110000133514404,3877
2023-05-18,6.019999980926514,6.019999980926514,5.25,5.050000190734863,9072
2023-05-21,6.019999980926514,6.019999980926514,5.28000020980835,5.070000171661377,2927
2023-05-22,6.019999980926514,6.019999980926514,5.25,5.070000171661377,17877
2023-05-23,6.019999980926514,6.019999980926514,5.300000190734863,5.079999923706055,14889
